HF energy: -52.893914481982335
# of electrons: 10
# of spin orbitals: 18
XZZIXIIIIYYX	(-1.7971943298791664e-06+0j)
YIIIYZZIZYYX	(-1.7971943298791664e-06+0j)
XZZIXIIIIXYY	(1.7971943298791664e-06+0j)
YIIIYZZIZXYY	(1.7971943298791664e-06+0j)
XZZIXIIIZIXX	(2.964419962920131e-07+0j)
YIIIYZZIIIXX	(2.964419962920131e-07+0j)
XZZIXIIIIZYY	(2.964419962920131e-07+0j)
YIIIYZZIZZYY	(2.964419962920131e-07+0j)
XZZIXIXYYIXX	(0.0003342630102892949+0j)
YIIIYZYYXIXX	(0.0003342630102892949+0j)
XZZIXIXXYIXY	(-0.0003342630102892949+0j)
YIIIYZYXXIXY	(-0.0003342630102892949+0j)
XZZIXIYIYIXX	(5.424943883738108e-06+0j)
YIIIYZXIXIXX	(-5.424943883738108e-06+0j)
XZZIXIXZYIXY	(-5.424943883738108e-06+0j)
YIIIYZYZXIXY	(-5.424943883738108e-06+0j)
IIIZIIIIIIIZ	(0.12037931520218537+0j)
IIIZIIIIIIZX	(-0.004885132951884869+0j)
IIIZIIIIIIIX	(0.004885132951884869+0j)
IIIZIIIIIYYX	(-0.0008892440179561387+0j)
IIIZIIIIIXYY	(0.0008892440179561387+0j)
IIIZIIIIZIXX	(-0.00923092106438284+0j)
IIIZIIIIIZYY	(-0.00923092106438284+0j)
IIIZIIXYYIXX	(0.003107919649545615+0j)
IIIZIIXXYIXY	(-0.003107919649545615+0j)
IIIZIIYIYIXX	(-0.017014624371116567+0j)
IIIZIIXZYIXY	(0.017014624371116567+0j)
IIIXIIIIIIIZ	(-8.840803176628581e-08+0j)
IIZXIIIIIIIZ	(8.840803176628581e-08+0j)
IIIXIIIIIIZX	(-0.006671577934138011+0j)
IIZXIIIIIIZX	(0.006671577934138011+0j)
IIIXIIIIIIIX	(0.006671577934138011+0j)
IIZXIIIIIIIX	(-0.006671577934138011+0j)
IIIXIIIIIYYX	(-0.009230987541086836+0j)
IIZXIIIIIYYX	(0.009230987541086836+0j)
IIIXIIIIIXYY	(0.009230987541086836+0j)
IIZXIIIIIXYY	(-0.009230987541086836+0j)
IIIXIIIIZIXX	(0.00842523430604003+0j)
